page,ipAddress,dateHit,dateLeft,code,referer,url,userAgent,pageLanguage,browserLanguages,trackingId,lead
3,1,8/9/20 19:00,8/9/20 19:01,200,http://localhost/mautic/index_dev.php/pages/view/3,http://localhost/mautic/index_dev.php/p/page/es_MX/3:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,es_MX,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",H764T844,NULL
1,38,8/10/20 0:22,8/10/20 0:22,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",5KPMMUCC,NULL
1,36,8/10/20 0:22,8/10/20 0:22,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",5KPMMUCC,NULL
1,15,8/10/20 0:22,8/10/20 0:22,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",E2Q6OBTT,NULL
1,18,8/10/20 0:23,8/10/20 0:23,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",RZT87U00,NULL
1,42,8/10/20 0:23,8/10/20 0:23,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",RZT87U00,NULL
1,5,8/10/20 0:23,8/10/20 0:23,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",YOQLXM44,NULL
1,1,8/10/20 0:23,8/10/20 0:23,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",OBKQCCRR,NULL
1,39,8/10/20 0:23,8/10/20 0:23,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",OBKQCCRR,NULL
1,42,8/10/20 0:24,8/10/20 0:24,200,http://localhost/mautic/index_dev.php/pages/view/1,http://localhost/mautic/index_dev.php/p/page/1:kaleidoscope-conference-2020,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,en,"a:2:{i:0;s:5:\"en-US\";i:1;s:8:\"en;q=0.5\";}",SUDI7EZZ,NULL
